Current,InstanceType,Manufacturer,MemoryMiB,VCpus,Price
TRUE,r7g.xlarge,AWS,32768,4,$0.21
TRUE,r6gd.xlarge,AWS,32768,4,$0.23
TRUE,r8g.xlarge,AWS,32768,4,$0.24
TRUE,r7gd.xlarge,AWS,32768,4,$0.27
TRUE,r8gd.xlarge,AWS,32768,4,$0.29
TRUE,i4g.xlarge,AWS,32768,4,$0.31
TRUE,i8g.xlarge,AWS,32768,4,$0.34
TRUE,r6i.xlarge,Intel,32768,4,$0.25
TRUE,r5.xlarge,Intel,32768,4,$0.32
TRUE,r5dn.xlarge,Intel,32768,4,$0.33
TRUE,r7iz.xlarge,Intel,32768,4,$0.37
TRUE,i4i.xlarge,Intel,32768,4,$0.41
TRUE,r6in.xlarge,Intel,32768,4,$0.42
TRUE,d3.xlarge,Intel,32768,4,$0.50
TRUE,i7ie.xlarge,Intel,32768,4,$0.59
TRUE,r7i.xlarge,Intel,32768,4,$0.74
TRUE,r5b.xlarge,Intel,32768,4,$0.78
TRUE,r5n.xlarge,Intel,32768,4,$0.78
TRUE,z1d.xlarge,Intel,32768,4,$0.85
TRUE,r6idn.xlarge,Intel,32768,4,$0.87
TRUE,i3en.xlarge,Intel,32768,4,$0.93
TRUE,r5d.xlarge,Intel,32768,4,$1.79
TRUE,r6id.xlarge,Intel,32768,4,$1.80
TRUE,i7i.xlarge,Intel,32768,4,$1.88
TRUE,x2gd.xlarge,AWS,65536,4,$0.33
TRUE,x8g.xlarge,AWS,65536,4,$0.39
TRUE,x1e.xlarge,Intel,124928,4,$2.33
TRUE,x2iedn.xlarge,Intel,131072,4,$0.90
TRUE,c6a.2xlarge,AMD,16384,8,$0.31
TRUE,c5a.2xlarge,AMD,16384,8,$0.44
TRUE,c5ad.2xlarge,AMD,16384,8,$0.48
TRUE,c7a.2xlarge,AMD,16384,8,$0.55
TRUE,mac2.metal,Apple,16384,8,N/A
TRUE,c6g.2xlarge,AWS,16384,8,$0.27
TRUE,c7g.2xlarge,AWS,16384,8,$0.29
TRUE,c6gd.2xlarge,AWS,16384,8,$0.31
TRUE,c8g.2xlarge,AWS,16384,8,$0.32
TRUE,c7gd.2xlarge,AWS,16384,8,$0.36
TRUE,c8gd.2xlarge,AWS,16384,8,$0.39
TRUE,c8gn.2xlarge,AWS,16384,8,$0.47
TRUE,c7gn.2xlarge,AWS,16384,8,$0.50
TRUE,g5g.2xlarge,AWS,16384,8,$0.56
TRUE,c6i.2xlarge,Intel,16384,8,$0.34
TRUE,c7i.2xlarge,Intel,16384,8,$0.36
TRUE,c5d.2xlarge,Intel,16384,8,$0.38
TRUE,c6in.2xlarge,Intel,16384,8,$0.45
TRUE,c7i-flex.2xlarge,Intel,16384,8,$0.47
TRUE,c5.2xlarge,Intel,16384,8,$0.48
TRUE,c6id.2xlarge,Intel,16384,8,$0.54
TRUE,inf1.2xlarge,Intel,16384,8,$1.32
TRUE,c5n.2xlarge,Intel,21504,8,$1.39
TRUE,mac2-m2.metal,Apple,24576,8,N/A
TRUE,g6f.2xlarge,AMD,32768,8,$0.48
TRUE,g4ad.2xlarge,AMD,32768,8,$0.54
TRUE,m5ad.2xlarge,AMD,32768,8,$0.55
TRUE,g6.2xlarge,AMD,32768,8,$0.98
TRUE,g5.2xlarge,AMD,32768,8,$1.21
TRUE,t3a.2xlarge,AMD,32768,8,$1.26
TRUE,m5a.2xlarge,AMD,32768,8,$1.30
TRUE,m7a.2xlarge,AMD,32768,8,$1.42
TRUE,m6a.2xlarge,AMD,32768,8,$3.35
TRUE,t4g.2xlarge,AWS,32768,8,$0.27
TRUE,m6g.2xlarge,AWS,32768,8,$0.31
TRUE,m7g.2xlarge,AWS,32768,8,$0.33
TRUE,m8g.2xlarge,AWS,32768,8,$0.36
TRUE,m6gd.2xlarge,AWS,32768,8,$0.36
TRUE,m7gd.2xlarge,AWS,32768,8,$0.43
TRUE,m8gd.2xlarge,AWS,32768,8,$0.46
TRUE,im4gn.2xlarge,AWS,32768,8,$0.73
TRUE,m6i.2xlarge,Intel,32768,8,$0.38
TRUE,m7i.2xlarge,Intel,32768,8,$0.40
TRUE,m6id.2xlarge,Intel,32768,8,$0.61
TRUE,m5n.2xlarge,Intel,32768,8,$0.61
TRUE,g4dn.2xlarge,Intel,32768,8,$0.75
TRUE,m6idn.2xlarge,Intel,32768,8,$0.77
TRUE,d3en.2xlarge,Intel,32768,8,$1.05
TRUE,m7i-flex.2xlarge,Intel,32768,8,$1.34
TRUE,trn1.2xlarge,Intel,32768,8,$1.34
TRUE,m5zn.2xlarge,Intel,32768,8,$1.62
TRUE,m5.2xlarge,Intel,32768,8,$3.38
TRUE,m5d.2xlarge,Intel,32768,8,$3.45
TRUE,h1.2xlarge,Intel,32768,8,$3.47
TRUE,m5dn.2xlarge,Intel,32768,8,$3.54
TRUE,m6in.2xlarge,Intel,32768,8,$3.56
TRUE,is4gen.2xlarge,AWS,49152,8,$1.15
TRUE,i3.2xlarge,Intel,62464,8,$1.58
TRUE,p3.2xlarge,Intel,62464,8,$3.06
TRUE,r6a.2xlarge,AMD,65536,8,$0.59
TRUE,r5ad.2xlarge,AMD,65536,8,$0.66
TRUE,r7a.2xlarge,AMD,65536,8,$0.74
TRUE,r5a.2xlarge,AMD,65536,8,$1.41
TRUE,g6e.2xlarge,AMD,65536,8,$2.24
TRUE,r6g.2xlarge,AWS,65536,8,$0.40
TRUE,r7g.2xlarge,AWS,65536,8,$0.43
TRUE,r6gd.2xlarge,AWS,65536,8,$0.46
TRUE,r8g.2xlarge,AWS,65536,8,$0.47
TRUE,r7gd.2xlarge,AWS,65536,8,$0.54
TRUE,r8gd.2xlarge,AWS,65536,8,$0.59
TRUE,i4g.2xlarge,AWS,65536,8,$0.62
TRUE,i8g.2xlarge,AWS,65536,8,$0.69
TRUE,r7i.2xlarge,Intel,65536,8,$0.53
TRUE,r5n.2xlarge,Intel,65536,8,$0.60
TRUE,r5.2xlarge,Intel,65536,8,$0.64
TRUE,r6i.2xlarge,Intel,65536,8,$0.64
TRUE,i4i.2xlarge,Intel,65536,8,$0.69
TRUE,r6idn.2xlarge,Intel,65536,8,$0.78
TRUE,i7i.2xlarge,Intel,65536,8,$0.89
TRUE,d3.2xlarge,Intel,65536,8,$1.00
TRUE,i7ie.2xlarge,Intel,65536,8,$1.17
TRUE,r6id.2xlarge,Intel,65536,8,$1.56
TRUE,r5dn.2xlarge,Intel,65536,8,$1.63
TRUE,z1d.2xlarge,Intel,65536,8,$1.70
TRUE,r5d.2xlarge,Intel,65536,8,$3.58
TRUE,r5b.2xlarge,Intel,65536,8,$3.60
TRUE,r6in.2xlarge,Intel,65536,8,$3.70
TRUE,r7iz.2xlarge,Intel,65536,8,$3.74
TRUE,i3en.2xlarge,Intel,65536,8,$3.90
TRUE,f1.2xlarge,Intel,124928,8,$1.65
TRUE,x2gd.2xlarge,AWS,131072,8,$0.67
TRUE,x8g.2xlarge,AWS,131072,8,$0.78
TRUE,x1e.2xlarge,Intel,249856,8,$2.63
TRUE,x2iedn.2xlarge,Intel,262144,8,$4.67
TRUE,x2iezn.2xlarge,Intel,262144,8,$4.67
TRUE,vt1.3xlarge,Intel,24576,12,$0.65
TRUE,mac2-m2pro.metal,Apple,32768,12,N/A
TRUE,mac1.metal,Intel,32768,12,N/A
TRUE,m5zn.3xlarge,Intel,49152,12,$2.43
TRUE,z1d.3xlarge,Intel,98304,12,$1.12
TRUE,i3en.3xlarge,Intel,98304,12,$1.36
TRUE,i7ie.3xlarge,Intel,98304,12,$1.56
TRUE,c6a.4xlarge,AMD,32768,16,$0.88
TRUE,c7a.4xlarge,AMD,32768,16,$1.09
TRUE,c5a.4xlarge,AMD,32768,16,$2.54
TRUE,c5ad.4xlarge,AMD,32768,16,$2.61
TRUE,c6g.4xlarge,AWS,32768,16,$0.54
TRUE,c7g.4xlarge,AWS,32768,16,$0.58
TRUE,c6gd.4xlarge,AWS,32768,16,$0.61
TRUE,c8g.4xlarge,AWS,32768,16,$0.64
TRUE,c7gd.4xlarge,AWS,32768,16,$0.73
TRUE,c8gd.4xlarge,AWS,32768,16,$0.78
TRUE,g5g.4xlarge,AWS,32768,16,$0.83
TRUE,c8gn.4xlarge,AWS,32768,16,$0.95
TRUE,c7gn.4xlarge,AWS,32768,16,$1.00
TRUE,c7i-flex.4xlarge,Intel,32768,16,$0.68
TRUE,c6i.4xlarge,Intel,32768,16,$0.68
TRUE,c6id.4xlarge,Intel,32768,16,$0.81
TRUE,c7i.4xlarge,Intel,32768,16,$0.98
TRUE,c5d.4xlarge,Intel,32768,16,$2.69
TRUE,c6in.4xlarge,Intel,32768,16,$2.83
TRUE,c5.4xlarge,Intel,32768,16,$6.68
TRUE,c5n.4xlarge,Intel,43008,16,$1.13
TRUE,g4ad.4xlarge,AMD,65536,16,$0.87
TRUE,g6f.4xlarge,AMD,65536,16,$0.95
TRUE,m5a.4xlarge,AMD,65536,16,$0.96
TRUE,m5ad.4xlarge,AMD,65536,16,$1.09
TRUE,m7a.4xlarge,AMD,65536,16,$1.20
TRUE,g6.4xlarge,AMD,65536,16,$1.32
TRUE,g5.4xlarge,AMD,65536,16,$1.62
TRUE,m6a.4xlarge,AMD,65536,16,$6.69
TRUE,m6g.4xlarge,AWS,65536,16,$0.62
TRUE,m7g.4xlarge,AWS,65536,16,$0.65
TRUE,m8g.4xlarge,AWS,65536,16,$0.72
TRUE,m6gd.4xlarge,AWS,65536,16,$0.72
TRUE,m7gd.4xlarge,AWS,65536,16,$0.85
TRUE,m8gd.4xlarge,AWS,65536,16,$0.92
TRUE,im4gn.4xlarge,AWS,65536,16,$1.46
TRUE,g4dn.4xlarge,Intel,65536,16,$1.20
TRUE,m5dn.4xlarge,Intel,65536,16,$1.36
TRUE,m6idn.4xlarge,Intel,65536,16,$1.54
TRUE,m6i.4xlarge,Intel,65536,16,$2.69
TRUE,m6id.4xlarge,Intel,65536,16,$2.87
TRUE,m6in.4xlarge,Intel,65536,16,$3.03
TRUE,d3en.4xlarge,Intel,65536,16,$4.02
TRUE,m7i-flex.4xlarge,Intel,65536,16,$6.77
TRUE,m5.4xlarge,Intel,65536,16,$6.77
TRUE,m7i.4xlarge,Intel,65536,16,$6.81
TRUE,m5d.4xlarge,Intel,65536,16,$6.90
TRUE,h1.4xlarge,Intel,65536,16,$6.94
TRUE,m5n.4xlarge,Intel,65536,16,$6.95
TRUE,is4gen.4xlarge,AWS,98304,16,$2.31
TRUE,i3.4xlarge,Intel,124928,16,$1.25
TRUE,r5a.4xlarge,AMD,131072,16,$0.90
TRUE,r6a.4xlarge,AMD,131072,16,$0.91
TRUE,gr6f.4xlarge,AMD,131072,16,$1.07
TRUE,gr6.4xlarge,AMD,131072,16,$1.54
TRUE,g6e.4xlarge,AMD,131072,16,$3.00
TRUE,r5ad.4xlarge,AMD,131072,16,$7.05
TRUE,r7a.4xlarge,AMD,131072,16,$7.22
TRUE,r6g.4xlarge,AWS,131072,16,$0.81
TRUE,r7g.4xlarge,AWS,131072,16,$0.86
TRUE,r6gd.4xlarge,AWS,131072,16,$0.92
TRUE,r8g.4xlarge,AWS,131072,16,$0.94
TRUE,r7gd.4xlarge,AWS,131072,16,$1.09
TRUE,r8gd.4xlarge,AWS,131072,16,$1.18
TRUE,i4g.4xlarge,AWS,131072,16,$1.24
TRUE,i8g.4xlarge,AWS,131072,16,$1.37
TRUE,hpc7g.4xlarge,AWS,131072,16,$1.68
TRUE,r6i.4xlarge,Intel,131072,16,$1.28
TRUE,r5n.4xlarge,Intel,131072,16,$1.46
TRUE,r5b.4xlarge,Intel,131072,16,$1.46
TRUE,r5dn.4xlarge,Intel,131072,16,$1.61
TRUE,d3.4xlarge,Intel,131072,16,$2.00
TRUE,r7i.4xlarge,Intel,131072,16,$2.98
TRUE,r5d.4xlarge,Intel,131072,16,$3.07
TRUE,i4i.4xlarge,Intel,131072,16,$3.29
TRUE,r7iz.4xlarge,Intel,131072,16,$3.41
TRUE,r5.4xlarge,Intel,131072,16,$7.01
TRUE,r6id.4xlarge,Intel,131072,16,$7.21
TRUE,r6in.4xlarge,Intel,131072,16,$7.39
TRUE,i7i.4xlarge,Intel,131072,16,$7.51
TRUE,r6idn.4xlarge,Intel,131072,16,$7.56
TRUE,f1.4xlarge,Intel,249856,16,$3.30
TRUE,x2gd.4xlarge,AWS,262144,16,$1.34
TRUE,x8g.4xlarge,AWS,262144,16,$1.56
TRUE,x1e.4xlarge,Intel,499712,16,$9.34
TRUE,x2iedn.4xlarge,Intel,524288,16,$3.33
TRUE,x2iezn.4xlarge,Intel,524288,16,$3.34
TRUE,mac2-m1ultra.metal,Apple,131072,20,N/A
TRUE,inf1.6xlarge,Intel,49152,24,$1.18
TRUE,vt1.6xlarge,Intel,49152,24,$1.30
TRUE,d3en.6xlarge,Intel,98304,24,$3.56
TRUE,m5zn.6xlarge,Intel,98304,24,$4.86
TRUE,z1d.6xlarge,Intel,196608,24,$2.23
TRUE,i3en.6xlarge,Intel,196608,24,$2.71
TRUE,i7ie.6xlarge,Intel,196608,24,$3.12
TRUE,f2.6xlarge,AMD,262144,24,$1.98
TRUE,x2iezn.6xlarge,Intel,786432,24,$7.88
TRUE,c7a.8xlarge,AMD,65536,32,$1.64
TRUE,c6a.8xlarge,AMD,65536,32,$1.76
TRUE,c5ad.8xlarge,AMD,65536,32,$1.92
TRUE,c5a.8xlarge,AMD,65536,32,$5.07
TRUE,c6g.8xlarge,AWS,65536,32,$1.09
TRUE,c7g.8xlarge,AWS,65536,32,$1.16
TRUE,c6gd.8xlarge,AWS,65536,32,$1.23
TRUE,c8g.8xlarge,AWS,65536,32,$1.28
TRUE,g5g.8xlarge,AWS,65536,32,$1.37
TRUE,c7gd.8xlarge,AWS,65536,32,$1.45
TRUE,c8gd.8xlarge,AWS,65536,32,$1.57
TRUE,c8gn.8xlarge,AWS,65536,32,$1.90
TRUE,c7gn.8xlarge,AWS,65536,32,$2.00
TRUE,c6i.8xlarge,Intel,65536,32,$1.36
TRUE,c7i.8xlarge,Intel,65536,32,$1.43
TRUE,c6in.8xlarge,Intel,65536,32,$1.81
TRUE,c7i-flex.8xlarge,Intel,65536,32,$1.90
TRUE,c6id.8xlarge,Intel,65536,32,$5.45
TRUE,m5a.8xlarge,AMD,131072,32,$1.38
TRUE,m6a.8xlarge,AMD,131072,32,$1.38
TRUE,m5ad.8xlarge,AMD,131072,32,$1.65
TRUE,g4ad.8xlarge,AMD,131072,32,$1.73
TRUE,m7a.8xlarge,AMD,131072,32,$1.85
